t,count
1433695415,0
1433695416,0
1433695416,0
1433695417,0
1433695417,0
1433695418,0
1433695418,0
1433695419,0
1433695419,0
1433695420,0
1433695420,0
1433695421,0
1433695421,0
1433695422,0
1433695422,0
1433695423,0
1433695423,0
1433695424,0
1433695424,0
1433695425,0
1433695425,0
1433695426,0
1433695426,0
1433695427,0
1433695427,0
1433695428,0
1433695428,0
1433695429,0
1433695429,0
1433695430,0
1433695430,0
1433695431,0
1433695431,0
1433695432,0
1433695432,0
1433695433,0
1433695433,0
1433695434,0
1433695434,0
1433695435,0
1433695435,0
1433695436,0
1433695436,0
1433695437,0
1433695437,0
1433695438,0
1433695438,0
1433695439,0
1433695439,0
1433695440,0
1433695440,0
1433695441,0
1433695441,0
1433695442,0
1433695442,0
1433695443,0
1433695443,0
1433695444,0
1433695444,0
1433695445,0
1433695445,0
1433695446,0
1433695446,0
1433695447,0
1433695447,0
1433695448,0
1433695448,0
1433695449,0
1433695449,0
1433695450,0
1433695450,0
1433695451,0
1433695451,0
1433695452,0
1433695452,0
1433695453,0
1433695453,0
1433695454,0
1433695454,0
1433695455,0
1433695455,0
1433695456,0
1433695456,0
1433695457,0
1433695457,0
1433695458,0
1433695458,0
1433695459,0
1433695459,0
1433695460,0
1433695460,0
1433695461,0
1433695461,0
1433695462,0
1433695462,0
1433695463,0
1433695463,0
1433695464,0
1433695464,0
1433695465,0
1433695465,0
1433695466,0
1433695466,0
1433695467,0
1433695467,0
1433695468,0
1433695468,0
1433695469,0
1433695469,0
1433695470,0
1433695470,0
1433695471,0
1433695471,0
1433695472,0
1433695472,0
1433695473,0
1433695473,0
1433695474,0
1433695474,0
1433695475,0
1433695475,0
1433695476,0
1433695476,0
1433695477,0
1433695477,0
1433695478,0
1433695478,0
1433695479,0
1433695479,0
1433695480,0
1433695480,0
1433695481,0
1433695481,0
1433695482,0
1433695482,0
1433695483,0
1433695483,0
1433695484,0
1433695484,0
1433695485,0
1433695485,0
1433695486,0
1433695486,0
1433695487,0
1433695677,0
1433695677,0
1433695678,0
1433695678,0
1433695679,0
1433695679,0
1433695796,0
1433695797,0
1433695798,0
1433695799,0
1433695800,1
1433695801,1
1433695802,1
1433695803,1
1433695804,1
1433695805,1
1433695806,1
1433695807,1
1433695808,1
1433695809,1
1433695810,1
1433695811,1
1433695812,1
1433695813,1
1433695814,1
1433695815,1
1433695816,1
1433695817,1
1433695818,1
1433695819,1
1433695820,1
1433695821,1
1433695822,1
1433695823,1
1433695824,1
1433695825,1
1433695826,1
1433695827,1
1433695828,1
1433695829,1
1433695830,1
1433695831,1
1433695832,1
1433695833,1
1433695834,1
1433695835,1
1433695836,1
1433695837,1
1433695838,1
1433695839,1
1433695840,1
1433695841,1
1433695842,1
1433695843,1
1433695844,1
1433695845,1
1433695846,1
1433695847,1
1433695848,1
1433695849,1
1433695850,1
1433695851,1
1433695852,1
1433695853,1
1433695854,1
1433695855,1
1433695856,1
1433695857,1
1433695858,1
1433695859,1
1433695860,1
1433695861,1
1433695862,1
1433695863,1
1433695864,1
1433695865,1
1433695866,1
1433695867,1
1433695868,1
1433695869,1
1433695870,1
1433695871,1
1433695872,1
1433695873,1
1433695874,1
1433695875,1
1433695876,1
1433695877,1
1433695878,1
1433695879,1
1433695880,1
1433695881,1
1433695882,1
1433695883,1
1433695884,1
1433695885,1
1433695886,1
1433695887,1
1433695888,1
1433695889,1
1433695890,1
1433695891,1
1433695892,1
1433695893,1
1433695894,1
1433695895,1
1433695896,1
1433695897,1
1433695898,1
1433695899,1
1433695900,1
1433695901,1
1433695902,1
1433695903,1
1433695904,1
1435050661,0
1435050662,0
1435050663,0
1435050664,0
1435050665,1
1435050666,1
1435050667,1
1435050668,1
1435050669,1
1435050670,1
1435050671,1
1435050672,1
1435050673,1
1435050674,1
1435050675,1
1435050676,1
1435050677,1
1435050678,1
1435050679,1
1435050680,1
1435050681,1
1435050682,1
1435050683,1
1435050684,1
1435050685,1
1435050686,1
1435050687,1
1435050688,1
1435050689,1
1435050690,1
1435050691,1
1435050692,1
1435050693,1
1435050694,1
1435050695,1
1435050696,1
1435050697,1
1435050698,1
1435050699,1
1435050700,1
1435050701,1
1435050702,1
1435050703,1
1435050704,1
1435050705,1
1435050706,1
1435050707,1
1435050708,1
1435050709,1
1435050710,1
1435050711,1
1435050712,1
1435050713,1
1435050714,1
1435050715,1
1435050716,1
1435050717,1
1435050787,0
1435050788,0
1435050789,0
1435050790,1
1435050791,1
1435050792,1
1435050793,1
1435050794,1
1435050795,1
1435050796,1
1435050797,1
1435050798,1
1435050799,1
1435050800,1
1435050801,1
1435050802,1
1435050803,1
1435050804,1
1435050805,1
1435050806,1
1435050807,1
1435050808,1
1435050809,1
1435050810,1
1435050811,1
1435050812,1
1435050813,1
1435050814,1
1435050815,1
1435050816,1
1435050817,1
1435050818,1
1435050819,1
1435050820,1
1435050821,1
1435050822,1
1435050823,1
1435050824,1
1435050825,1
1435050826,1
1435050827,1
1435050828,1
1435050829,1
1435050830,1
1435050831,1
1435050832,1
1435050833,1
1435050834,1
1435050835,1
1435050836,1
1435050837,1
1435050838,1
1435050839,1
1435050840,1
1435050841,1
1435050842,1
1435050843,1
1435050844,1
1435050845,1
1435050846,1
1435050847,1
1435050848,1
1435050849,1
1435050850,1
1435050851,1
1435050852,1
1435050853,1
1435050854,1
1435050855,1
1435050856,1
1435050857,1
1435050858,1
1435050859,1
1435050860,1
1435050861,1
1435050862,1
1435050863,1
1435050864,1
1435050865,1
1435050866,1
1435050867,1
1435050868,1
1435050869,1
1435050870,1
1435050871,1
1435050872,1
1435050873,1
1435050874,1
1435050875,1
1435050876,1
1435050877,1
1435050878,1
1435050879,1
1435050880,1
1435050881,1
1435050882,1
1435050883,1
1435050884,1
1435050885,1
1435050886,1
1435050887,1
1435050888,1
1435050889,1
1435050890,1
1435050891,1
1435050892,1
1435050893,1
1435050894,1
1435050895,1
