t,count
1433695415,0
1433695416,0
1433695416,0
1433695417,0
1433695417,0
1433695418,0
1433695418,0
1433695419,0
1433695419,0
1433695420,0
1433695420,0
1433695421,0
1433695421,0
1433695422,0
1433695422,0
1433695423,0
1433695423,0
1433695424,0
1433695424,0
1433695425,0
1433695425,0
1433695426,0
1433695426,0
1433695427,0
1433695427,0
1433695428,0
1433695428,0
1433695429,0
1433695429,0
1433695430,0
1433695430,0
1433695431,0
1433695431,0
1433695432,0
1433695432,0
1433695433,0
1433695433,0
1433695434,0
1433695434,0
1433695435,0
1433695435,0
1433695436,0
1433695436,0
1433695437,0
1433695437,0
1433695438,0
1433695438,0
1433695439,0
1433695439,0
1433695440,0
1433695440,0
1433695441,0
1433695441,0
1433695442,0
1433695442,0
1433695443,0
1433695443,0
1433695444,0
1433695444,0
1433695445,0
1433695445,0
1433695446,0
1433695446,0
1433695447,0
1433695447,0
1433695448,0
1433695448,0
1433695449,0
1433695449,0
1433695450,0
1433695450,0
1433695451,0
1433695451,0
1433695452,0
1433695452,0
1433695453,0
1433695453,0
1433695454,0
1433695454,0
1433695455,0
1433695455,0
1433695456,0
1433695456,0
1433695457,0
1433695457,0
1433695458,0
1433695458,0
1433695459,0
1433695459,0
1433695460,0
1433695460,0
1433695461,0
1433695461,0
1433695462,0
1433695462,0
1433695463,0
1433695463,0
1433695464,0
1433695464,0
1433695465,0
1433695465,0
1433695466,0
1433695466,0
1433695467,0
1433695467,0
1433695468,0
1433695468,0
1433695469,0
1433695469,0
1433695470,0
1433695470,0
1433695471,0
1433695471,0
1433695472,0
1433695472,0
1433695473,0
1433695473,0
1433695474,0
1433695474,0
1433695475,0
1433695475,0
1433695476,0
1433695476,0
1433695477,0
1433695477,0
1433695478,0
1433695478,0
1433695479,0
1433695479,0
1433695480,0
1433695480,0
1433695481,0
1433695481,0
1433695482,0
1433695482,0
1433695483,0
1433695483,0
1433695484,0
1433695484,0
1433695485,0
1433695485,0
1433695486,0
1433695486,0
1433695487,0
1433695677,0
1433695677,0
1433695678,0
1433695678,0
1433695679,0
1433695679,0
1433695796,0
1433695797,0
1433695798,0
1433695799,4
1433695800,4
1433695801,4
1433695802,4
1433695803,4
1433695804,4
1433695805,4
1433695806,4
1433695807,4
1433695808,4
1433695809,4
1433695810,4
1433695811,4
1433695812,4
1433695813,4
1433695814,4
1433695815,4
1433695816,4
1433695817,4
1433695818,4
1433695819,4
1433695820,4
1433695821,4
1433695822,4
1433695823,4
1433695824,4
1433695825,4
1433695826,4
1433695827,4
1433695828,4
1433695829,4
1433695830,4
1433695831,4
1433695832,4
1433695833,4
1433695834,4
1433695835,4
1433695836,4
1433695837,4
1433695838,4
1433695839,4
1433695840,4
1433695841,4
1433695842,4
1433695843,4
1433695844,4
1433695845,4
1433695846,4
1433695847,4
1433695848,4
1433695849,4
1433695850,4
1433695851,4
1433695852,4
1433695853,4
1433695854,4
1433695855,4
1433695856,4
1433695857,4
1433695858,4
1433695859,4
1433695860,4
1433695861,4
1433695862,4
1433695863,4
1433695864,4
1433695865,4
1433695866,4
1433695867,4
1433695868,4
1433695869,4
1433695870,4
1433695871,4
1433695872,4
1433695873,4
1433695874,4
1433695875,4
1433695876,4
1433695877,4
1433695878,4
1433695879,4
1433695880,4
1433695881,4
1433695882,4
1433695883,4
1433695884,4
1433695885,4
1433695886,4
1433695887,4
1433695888,4
1433695889,4
1433695890,4
1433695891,4
1433695892,4
1433695893,4
1433695894,4
1433695895,4
1433695896,4
1433695897,4
1433695898,4
1433695899,4
1433695900,4
1433695901,4
1433695902,4
1433695903,4
1433695904,4
1435050661,0
1435050662,0
1435050663,0
1435050664,4
1435050665,4
1435050666,4
1435050667,4
1435050668,4
1435050669,4
1435050670,4
1435050671,4
1435050672,4
1435050673,4
1435050674,4
1435050675,4
1435050676,4
1435050677,4
1435050678,4
1435050679,4
1435050680,4
1435050681,4
1435050682,4
1435050683,4
1435050684,4
1435050685,4
1435050686,4
1435050687,4
1435050688,4
1435050689,4
1435050690,4
1435050691,4
1435050692,4
1435050693,4
1435050694,4
1435050695,4
1435050696,4
1435050697,4
1435050698,4
1435050699,4
1435050700,4
1435050701,4
1435050702,4
1435050703,4
1435050704,4
1435050705,4
1435050706,4
1435050707,4
1435050708,4
1435050709,4
1435050710,4
1435050711,4
1435050712,4
1435050713,4
1435050714,4
1435050715,4
1435050716,4
1435050717,4
1435050787,0
1435050788,0
1435050789,0
1435050790,4
1435050791,4
1435050792,4
1435050793,4
1435050794,4
1435050795,4
1435050796,4
1435050797,4
1435050798,4
1435050799,4
1435050800,4
1435050801,4
1435050802,4
1435050803,4
1435050804,4
1435050805,4
1435050806,4
1435050807,4
1435050808,4
1435050809,4
1435050810,4
1435050811,4
1435050812,4
1435050813,4
1435050814,4
1435050815,4
1435050816,4
1435050817,4
1435050818,4
1435050819,4
1435050820,4
1435050821,4
1435050822,4
1435050823,4
1435050824,4
1435050825,4
1435050826,4
1435050827,4
1435050828,4
1435050829,4
1435050830,4
1435050831,4
1435050832,4
1435050833,4
1435050834,4
1435050835,4
1435050836,4
1435050837,4
1435050838,4
1435050839,4
1435050840,4
1435050841,4
1435050842,4
1435050843,4
1435050844,4
1435050845,4
1435050846,4
1435050847,4
1435050848,4
1435050849,4
1435050850,4
1435050851,4
1435050852,4
1435050853,4
1435050854,4
1435050855,4
1435050856,4
1435050857,4
1435050858,4
1435050859,4
1435050860,4
1435050861,4
1435050862,4
1435050863,4
1435050864,4
1435050865,4
1435050866,4
1435050867,4
1435050868,4
1435050869,4
1435050870,4
1435050871,4
1435050872,4
1435050873,4
1435050874,4
1435050875,4
1435050876,4
1435050877,4
1435050878,4
1435050879,4
1435050880,4
1435050881,4
1435050882,4
1435050883,4
1435050884,4
1435050885,4
1435050886,4
1435050887,4
1435050888,4
1435050889,4
1435050890,4
1435050891,4
1435050892,4
1435050893,4
1435050894,4
1435050895,4
