t,count
1433695415,0
1433695416,0
1433695416,0
1433695417,0
1433695417,0
1433695418,0
1433695418,0
1433695419,0
1433695419,0
1433695420,0
1433695420,0
1433695421,0
1433695421,0
1433695422,0
1433695422,0
1433695423,0
1433695423,0
1433695424,0
1433695424,0
1433695425,0
1433695425,0
1433695426,0
1433695426,0
1433695427,0
1433695427,0
1433695428,0
1433695428,0
1433695429,0
1433695429,0
1433695430,0
1433695430,0
1433695431,0
1433695431,0
1433695432,0
1433695432,0
1433695433,0
1433695433,0
1433695434,0
1433695434,0
1433695435,0
1433695435,0
1433695436,0
1433695436,0
1433695437,0
1433695437,0
1433695438,0
1433695438,0
1433695439,0
1433695439,0
1433695440,0
1433695440,0
1433695441,0
1433695441,0
1433695442,0
1433695442,0
1433695443,0
1433695443,0
1433695444,0
1433695444,0
1433695445,0
1433695445,0
1433695446,0
1433695446,0
1433695447,0
1433695447,0
1433695448,0
1433695448,0
1433695449,0
1433695449,0
1433695450,0
1433695450,0
1433695451,0
1433695451,0
1433695452,0
1433695452,0
1433695453,0
1433695453,0
1433695454,0
1433695454,0
1433695455,0
1433695455,0
1433695456,0
1433695456,0
1433695457,0
1433695457,0
1433695458,0
1433695458,0
1433695459,0
1433695459,0
1433695460,0
1433695460,0
1433695461,0
1433695461,0
1433695462,0
1433695462,0
1433695463,0
1433695463,0
1433695464,0
1433695464,0
1433695465,0
1433695465,0
1433695466,0
1433695466,0
1433695467,0
1433695467,0
1433695468,0
1433695468,0
1433695469,0
1433695469,0
1433695470,0
1433695470,0
1433695471,0
1433695471,0
1433695472,0
1433695472,0
1433695473,0
1433695473,0
1433695474,0
1433695474,0
1433695475,0
1433695475,0
1433695476,0
1433695476,0
1433695477,0
1433695477,0
1433695478,0
1433695478,0
1433695479,0
1433695479,0
1433695480,0
1433695480,0
1433695481,0
1433695481,0
1433695482,0
1433695482,0
1433695483,0
1433695483,0
1433695484,0
1433695484,0
1433695485,0
1433695485,0
1433695486,0
1433695486,0
1433695487,0
1433695677,0
1433695677,0
1433695678,0
1433695678,0
1433695679,0
1433695679,0
1433695796,0
1433695797,0
1433695798,0
1433695799,0
1433695800,0
1433695801,4
1433695802,8
1433695803,12
1433695804,16
1433695805,20
1433695806,24
1433695807,28
1433695808,32
1433695809,36
1433695810,40
1433695811,44
1433695812,48
1433695813,52
1433695814,56
1433695815,60
1433695816,64
1433695817,68
1433695818,72
1433695819,76
1433695820,80
1433695821,84
1433695822,88
1433695823,92
1433695824,96
1433695825,100
1433695826,104
1433695827,108
1433695828,112
1433695829,116
1433695830,120
1433695831,124
1433695832,128
1433695833,132
1433695834,136
1433695835,140
1433695836,144
1433695837,148
1433695838,152
1433695839,156
1433695840,160
1433695841,164
1433695842,168
1433695843,172
1433695844,176
1433695845,180
1433695846,184
1433695847,188
1433695848,192
1433695849,196
1433695850,200
1433695851,204
1433695852,208
1433695853,212
1433695854,216
1433695855,220
1433695856,224
1433695857,228
1433695858,232
1433695859,236
1433695860,240
1433695861,244
1433695862,248
1433695863,252
1433695864,256
1433695865,260
1433695866,264
1433695867,268
1433695868,272
1433695869,276
1433695870,280
1433695871,284
1433695872,288
1433695873,292
1433695874,296
1433695875,300
1433695876,304
1433695877,308
1433695878,312
1433695879,316
1433695880,320
1433695881,324
1433695882,328
1433695883,332
1433695884,336
1433695885,340
1433695886,344
1433695887,348
1433695888,352
1433695889,356
1433695890,360
1433695891,364
1433695892,368
1433695893,372
1433695894,376
1433695895,380
1433695896,384
1433695897,388
1433695898,392
1433695899,396
1433695900,400
1433695901,404
1433695902,408
1433695903,412
1433695904,416
1435050661,0
1435050662,0
1435050663,0
1435050664,0
1435050665,0
1435050666,4
1435050667,8
1435050668,12
1435050669,16
1435050670,20
1435050671,24
1435050672,28
1435050673,32
1435050674,36
1435050675,40
1435050676,44
1435050677,48
1435050678,52
1435050679,56
1435050680,60
1435050681,64
1435050682,68
1435050683,72
1435050684,76
1435050685,80
1435050686,84
1435050687,88
1435050688,92
1435050689,96
1435050690,100
1435050691,104
1435050692,108
1435050693,112
1435050694,116
1435050695,120
1435050696,124
1435050697,128
1435050698,132
1435050699,136
1435050700,140
1435050701,144
1435050702,148
1435050703,152
1435050704,156
1435050705,160
1435050706,164
1435050707,168
1435050708,172
1435050709,176
1435050710,180
1435050711,184
1435050712,188
1435050713,192
1435050714,196
1435050715,200
1435050716,204
1435050717,208
1435050787,0
1435050788,0
1435050789,0
1435050790,0
1435050791,0
1435050792,4
1435050793,8
1435050794,12
1435050795,16
1435050796,20
1435050797,24
1435050798,28
1435050799,32
1435050800,36
1435050801,40
1435050802,44
1435050803,48
1435050804,52
1435050805,56
1435050806,60
1435050807,64
1435050808,68
1435050809,72
1435050810,76
1435050811,80
1435050812,84
1435050813,88
1435050814,92
1435050815,96
1435050816,100
1435050817,104
1435050818,108
1435050819,112
1435050820,116
1435050821,120
1435050822,124
1435050823,128
1435050824,132
1435050825,136
1435050826,140
1435050827,144
1435050828,148
1435050829,152
1435050830,156
1435050831,160
1435050832,164
1435050833,168
1435050834,173
1435050835,176
1435050836,180
1435050837,184
1435050838,188
1435050839,192
1435050840,196
1435050841,200
1435050842,204
1435050843,208
1435050844,212
1435050845,216
1435050846,220
1435050847,224
1435050848,228
1435050849,232
1435050850,236
1435050851,240
1435050852,244
1435050853,248
1435050854,252
1435050855,256
1435050856,260
1435050857,264
1435050858,268
1435050859,272
1435050860,276
1435050861,280
1435050862,284
1435050863,288
1435050864,293
1435050865,296
1435050866,300
1435050867,304
1435050868,308
1435050869,312
1435050870,316
1435050871,320
1435050872,324
1435050873,328
1435050874,332
1435050875,336
1435050876,340
1435050877,344
1435050878,348
1435050879,352
1435050880,356
1435050881,360
1435050882,364
1435050883,368
1435050884,372
1435050885,376
1435050886,380
1435050887,384
1435050888,388
1435050889,392
1435050890,396
1435050891,400
1435050892,404
1435050893,408
1435050894,413
1435050895,416
