t,count
1433695415,0
1433695416,0
1433695416,0
1433695417,0
1433695417,0
1433695418,0
1433695418,0
1433695419,0
1433695419,0
1433695420,0
1433695420,0
1433695421,0
1433695421,0
1433695422,0
1433695422,0
1433695423,0
1433695423,0
1433695424,0
1433695424,0
1433695425,0
1433695425,0
1433695426,0
1433695426,0
1433695427,0
1433695427,0
1433695428,0
1433695428,0
1433695429,0
1433695429,0
1433695430,0
1433695430,0
1433695431,0
1433695431,0
1433695432,0
1433695432,0
1433695433,0
1433695433,0
1433695434,0
1433695434,0
1433695435,0
1433695435,0
1433695436,0
1433695436,0
1433695437,0
1433695437,0
1433695438,0
1433695438,0
1433695439,0
1433695439,0
1433695440,0
1433695440,0
1433695441,0
1433695441,0
1433695442,0
1433695442,0
1433695443,0
1433695443,0
1433695444,0
1433695444,0
1433695445,0
1433695445,0
1433695446,0
1433695446,0
1433695447,0
1433695447,0
1433695448,0
1433695448,0
1433695449,0
1433695449,0
1433695450,0
1433695450,0
1433695451,0
1433695451,0
1433695452,0
1433695452,0
1433695453,0
1433695453,0
1433695454,0
1433695454,0
1433695455,0
1433695455,0
1433695456,0
1433695456,0
1433695457,0
1433695457,0
1433695458,0
1433695458,0
1433695459,0
1433695459,0
1433695460,0
1433695460,0
1433695461,0
1433695461,0
1433695462,0
1433695462,0
1433695463,0
1433695463,0
1433695464,0
1433695464,0
1433695465,0
1433695465,0
1433695466,0
1433695466,0
1433695467,0
1433695467,0
1433695468,0
1433695468,0
1433695469,0
1433695469,0
1433695470,0
1433695470,0
1433695471,0
1433695471,0
1433695472,0
1433695472,0
1433695473,0
1433695473,0
1433695474,0
1433695474,0
1433695475,0
1433695475,0
1433695476,0
1433695476,0
1433695477,0
1433695477,0
1433695478,0
1433695478,0
1433695479,0
1433695479,0
1433695480,0
1433695480,0
1433695481,0
1433695481,0
1433695482,0
1433695482,0
1433695483,0
1433695483,0
1433695484,0
1433695484,0
1433695485,0
1433695485,0
1433695486,0
1433695486,0
1433695487,0
1433695677,0
1433695677,0
1433695678,0
1433695678,0
1433695679,0
1433695679,0
1433695796,0
1433695797,0
1433695798,0
1433695799,8
1433695800,10
1433695801,14
1433695802,18
1433695803,22
1433695804,26
1433695805,30
1433695806,34
1433695807,38
1433695808,42
1433695809,46
1433695810,50
1433695811,54
1433695812,58
1433695813,62
1433695814,66
1433695815,70
1433695816,74
1433695817,78
1433695818,82
1433695819,86
1433695820,90
1433695821,94
1433695822,98
1433695823,102
1433695824,106
1433695825,110
1433695826,114
1433695827,118
1433695828,122
1433695829,126
1433695830,130
1433695831,134
1433695832,138
1433695833,142
1433695834,146
1433695835,150
1433695836,154
1433695837,158
1433695838,162
1433695839,166
1433695840,170
1433695841,174
1433695842,178
1433695843,182
1433695844,186
1433695845,190
1433695846,194
1433695847,198
1433695848,202
1433695849,206
1433695850,210
1433695851,214
1433695852,218
1433695853,222
1433695854,226
1433695855,230
1433695856,234
1433695857,238
1433695858,242
1433695859,246
1433695860,250
1433695861,254
1433695862,258
1433695863,262
1433695864,266
1433695865,270
1433695866,274
1433695867,278
1433695868,282
1433695869,286
1433695870,290
1433695871,294
1433695872,298
1433695873,302
1433695874,306
1433695875,310
1433695876,314
1433695877,318
1433695878,322
1433695879,326
1433695880,330
1433695881,334
1433695882,338
1433695883,342
1433695884,346
1433695885,350
1433695886,354
1433695887,358
1433695888,362
1433695889,366
1433695890,370
1433695891,374
1433695892,378
1433695893,382
1433695894,386
1433695895,390
1433695896,394
1433695897,398
1433695898,402
1433695899,406
1433695900,410
1433695901,414
1433695902,418
1433695903,422
1433695904,426
1435050661,0
1435050662,0
1435050663,0
1435050664,8
1435050665,10
1435050666,14
1435050667,18
1435050668,22
1435050669,26
1435050670,30
1435050671,34
1435050672,38
1435050673,42
1435050674,46
1435050675,50
1435050676,54
1435050677,58
1435050678,62
1435050679,66
1435050680,70
1435050681,74
1435050682,78
1435050683,82
1435050684,86
1435050685,90
1435050686,94
1435050687,98
1435050688,102
1435050689,106
1435050690,110
1435050691,114
1435050692,118
1435050693,122
1435050694,126
1435050695,130
1435050696,134
1435050697,138
1435050698,142
1435050699,146
1435050700,150
1435050701,154
1435050702,158
1435050703,162
1435050704,166
1435050705,170
1435050706,174
1435050707,178
1435050708,182
1435050709,186
1435050710,190
1435050711,194
1435050712,198
1435050713,202
1435050714,206
1435050715,210
1435050716,214
1435050717,218
1435050787,0
1435050788,0
1435050789,0
1435050790,10
1435050791,10
1435050792,14
1435050793,18
1435050794,22
1435050795,26
1435050796,30
1435050797,34
1435050798,38
1435050799,42
1435050800,46
1435050801,50
1435050802,54
1435050803,58
1435050804,62
1435050805,66
1435050806,70
1435050807,74
1435050808,78
1435050809,82
1435050810,86
1435050811,90
1435050812,94
1435050813,98
1435050814,102
1435050815,106
1435050816,110
1435050817,114
1435050818,118
1435050819,122
1435050820,126
1435050821,130
1435050822,134
1435050823,138
1435050824,142
1435050825,146
1435050826,150
1435050827,154
1435050828,158
1435050829,162
1435050830,166
1435050831,170
1435050832,174
1435050833,178
1435050834,183
1435050835,186
1435050836,190
1435050837,194
1435050838,198
1435050839,202
1435050840,206
1435050841,210
1435050842,214
1435050843,218
1435050844,222
1435050845,226
1435050846,230
1435050847,234
1435050848,238
1435050849,242
1435050850,246
1435050851,250
1435050852,254
1435050853,258
1435050854,262
1435050855,266
1435050856,270
1435050857,274
1435050858,278
1435050859,282
1435050860,286
1435050861,290
1435050862,294
1435050863,298
1435050864,303
1435050865,306
1435050866,310
1435050867,314
1435050868,318
1435050869,322
1435050870,326
1435050871,330
1435050872,334
1435050873,338
1435050874,342
1435050875,346
1435050876,350
1435050877,354
1435050878,358
1435050879,362
1435050880,366
1435050881,370
1435050882,374
1435050883,378
1435050884,382
1435050885,386
1435050886,390
1435050887,394
1435050888,398
1435050889,402
1435050890,406
1435050891,410
1435050892,414
1435050893,418
1435050894,422
1435050895,426
