t,value
1433695415,472060952
1433695416,469998712
1433695416,469998712
1433695417,469998648
1433695417,469322160
1433695418,467942136
1433695418,467257600
1433695419,467257536
1433695419,466573000
1433695420,466572936
1433695420,466572936
1433695421,465184952
1433695421,464500416
1433695422,464500352
1433695422,463815816
1433695423,462435976
1433695423,461759472
1433695424,461759376
1433695424,461759376
1433695425,458373376
1433695425,458373376
1433695426,456993528
1433695426,456317112
1433695427,456317048
1433695427,455640696
1433695428,455640632
1433695428,453578944
1433695429,453578880
1433695429,453578880
1433695430,453578816
1433695430,452894280
1433695431,451514456
1433695431,450829920
1433695432,450829824
1433695432,450153448
1433695433,450153352
1433695433,450153352
1433695434,448088936
1433695434,448088936
1433695435,448088840
1433695435,447412352
1433695436,446024336
1433695436,445339800
1433695437,445339736
1433695437,444655200
1433695438,444655136
1433695438,444655136
1433695439,443275336
1433695439,442590800
1433695440,442590704
1433695440,441906168
1433695441,441906072
1433695441,439841648
1433695442,439841584
1433695442,439841584
1433695443,439156952
1433695443,439156952
1433695444,437777152
1433695444,437100776
1433695445,437100712
1433695445,436416176
1433695446,436416112
1433695446,435739736
1433695447,434359912
1433695447,434359912
1433695448,434359848
1433695448,433675312
1433695449,432295472
1433695449,431619008
1433695450,431618944
1433695450,430934408
1433695451,430934344
1433695451,430934344
1433695452,429546360
1433695452,428861824
1433695453,428861760
1433695453,428185336
1433695454,428185272
1433695454,427508704
1433695455,426120720
1433695455,426120720
1433695456,425444200
1433695456,425444200
1433695457,424056216
1433695457,423371680
1433695458,423371616
1433695458,422695208
1433695459,422695144
1433695459,422018768
1433695460,420638872
1433695460,420638872
1433695461,420638808
1433695461,419954272
1433695462,418566288
1433695462,417889824
1433695463,417889760
1433695463,417205224
1433695464,417205160
1433695464,417205160
1433695465,415825336
1433695465,415140800
1433695466,415140736
1433695466,414464312
1433695467,414464248
1433695467,413787680
1433695468,412399696
1433695468,412399696
1433695469,411723176
1433695469,411723176
1433695470,410343352
1433695470,409658816
1433695471,409658720
1433695471,408982312
1433695472,408982248
1433695472,408305872
1433695473,406917888
1433695473,406917888
1433695474,406917824
1433695474,406233288
1433695475,404853464
1433695475,404177000
1433695476,404176936
1433695476,403492400
1433695477,403492336
1433695477,403492336
1433695478,402112064
1433695478,401427528
1433695479,401427464
1433695479,400751040
1433695480,400750976
1433695480,398686488
1433695481,398686424
1433695481,398686424
1433695482,398009952
1433695482,398009952
1433695483,396621968
1433695483,395937432
1433695484,395937368
1433695484,395260960
1433695485,395260896
1433695485,394584520
1433695486,393196536
1433695486,393196536
1433695487,385025928
1433695677,472023864
1433695677,469961624
1433695678,469961624
1433695678,469961528
1433695679,469285040
1433695679,457029048
1433695796,502762096
1433695797,431603064
1433695798,378267384
1433695799,474663120
1433695800,455385176
1433695801,451540328
1433695802,451231472
1433695803,450052224
1433695804,449788984
1433695805,448609152
1433695806,447421000
1433695807,447157408
1433695808,445969800
1433695809,445706624
1433695810,444519400
1433695811,443332240
1433695812,443069320
1433695813,441881936
1433695814,441618856
1433695815,439013800
1433695816,438750336
1433695817,437571040
1433695818,436391816
1433695819,436128704
1433695820,434949272
1433695821,434686128
1433695822,433498328
1433695823,432310784
1433695824,432047704
1433695825,430924680
1433695826,430918944
1433695827,429997480
1433695828,395454016
1433695829,377258344
1433695830,376333968
1433695831,376333928
1433695832,375409552
1433695833,375409512
1433695834,374485136
1433695835,373568792
1433695836,373568464
1433695837,372644088
1433695838,372643952
1433695839,371719576
1433695840,371719536
1433695841,370749224
1433695842,369832976
1433695843,369832936
1433695844,368916736
1433695845,368916696
1433695846,367992032
1433695847,367067656
1433695848,367067520
1433695849,366143144
1433695850,366143104
1433695851,365218728
1433695852,365218688
1433695853,364248376
1433695854,363332184
1433695855,363332144
1433695856,466228744
1433695857,466097144
1433695858,465143760
1433695859,464190472
1433695860,464058912
1433695861,463113768
1433695862,462168192
1433695863,462036632
1433695864,461091456
1433695865,460146320
1433695866,460014472
1433695867,459061184
1433695868,458115960
1433695869,457774032
1433695870,456820744
1433695871,455875488
1433695872,455743928
1433695873,454798600
1433695874,453853400
1433695875,453703808
1433695876,452758400
1433695877,451813296
1433695878,451681640
1433695879,450736296
1433695880,449856880
1433695881,449856840
1433695882,449043088
1433695883,448994296
1433695884,448180704
1433695885,447366992
1433695886,447366664
1433695887,446553040
1433695888,445739344
1433695889,445739304
1433695890,444917536
1433695891,444095768
1433695892,442715856
1433695893,441894088
1433695894,441072320
1433695895,441072280
1433695896,440201416
1433695897,439379648
1433695898,439379512
1433695899,438565928
1433695900,437751872
1433695901,437751832
1433695902,436938248
1433695903,436124640
1433695904,436124600
1435050661,500882800
1435050662,431576080
1435050663,378193952
1435050664,473851408
1435050665,457160704
1435050666,453266592
1435050667,452957864
1435050668,451778792
1435050669,451515936
1435050670,450336664
1435050671,449149056
1435050672,448885912
1435050673,447698336
1435050674,447435160
1435050675,446247680
1435050676,445060392
1435050677,444797280
1435050678,443609992
1435050679,443347072
1435050680,441215328
1435050681,440951864
1435050682,439772480
1435050683,438593000
1435050684,438330048
1435050685,437150832
1435050686,436887912
1435050687,435700368
1435050688,434513016
1435050689,434249872
1435050690,433126944
1435050691,433121272
1435050692,432199840
1435050693,397656576
1435050694,379461096
1435050695,378536720
1435050696,378536680
1435050697,377612304
1435050698,377612264
1435050699,376696056
1435050700,375771680
1435050701,375771352
1435050702,374846976
1435050703,374846840
1435050704,373922464
1435050705,373876456
1435050706,372952080
1435050707,372035776
1435050708,372035736
1435050709,371119480
1435050710,371119440
1435050711,370194776
1435050712,369270400
1435050713,369270264
1435050714,368345888
1435050715,368345848
1435050716,367421472
1435050717,367421432
1435050787,502679632
1435050788,431542672
1435050789,378147664
1435050790,460668576
1435050791,457043672
1435050792,453149512
1435050793,452840816
1435050794,451661912
1435050795,451398992
1435050796,450219888
1435050797,449032408
1435050798,448769648
1435050799,447582424
1435050800,447319440
1435050801,445787272
1435050802,444599984
1435050803,444337096
1435050804,443149776
1435050805,442886696
1435050806,440754976
1435050807,440491736
1435050808,439312608
1435050809,438133296
1435050810,437870216
1435050811,436691016
1435050812,436427904
1435050813,435240456
1435050814,434053200
1435050815,433789960
1435050816,432667256
1435050817,432661680
1435050818,431740312
1435050819,431689120
1435050820,413513400
1435050821,378415112
1435050822,378415072
1435050823,377490696
1435050824,377490656
1435050825,376574464
1435050826,375650088
1435050827,375649760
1435050828,374733576
1435050829,374733440
1435050830,373809064
1435050831,373809024
1435050832,372838712
1435050833,371922464
1435050834,371922424
1435050835,371006168
1435050836,371006128
1435050837,370081464
1435050838,369157088
1435050839,369156952
1435050840,368232576
1435050841,368232536
1435050842,367308160
1435050843,367308120
1435050844,366337736
1435050845,365421544
1435050846,365421504
1435050847,364505008
1435050848,364504928
1435050849,363580456
1435050850,468845048
1435050851,466289160
1435050852,465331232
1435050853,464373232
1435050854,464241672
1435050855,463283728
1435050856,463152168
1435050857,462193880
1435050858,461227768
1435050859,461096112
1435050860,460130000
1435050861,459163888
1435050862,459032328
1435050863,458074384
1435050864,457067384
1435050865,456774784
1435050866,455798744
1435050867,454840504
1435050868,454708944
1435050869,453742736
1435050870,452776624
1435050871,452645064
1435050872,451678952
1435050873,450720976
1435050874,450589416
1435050875,449689064
1435050876,449689024
1435050877,448854144
1435050878,447970760
1435050879,447970624
1435050880,447136032
1435050881,446301440
1435050882,446301400
1435050883,445474920
1435050884,444648400
1435050885,444648360
1435050886,443813768
1435050887,441606752
1435050888,441606712
1435050889,440772024
1435050890,439937432
1435050891,439888584
1435050892,439053992
1435050893,438227480
1435050894,438227440
1435050895,437392848
