t,value
1433695415,514850816
1433695416,514850816
1433695416,514850816
1433695417,514850816
1433695417,514850816
1433695418,514850816
1433695418,514850816
1433695419,514850816
1433695419,514850816
1433695420,514850816
1433695420,514850816
1433695421,514850816
1433695421,514850816
1433695422,514850816
1433695422,514850816
1433695423,514850816
1433695423,514850816
1433695424,514850816
1433695424,514850816
1433695425,514850816
1433695425,514850816
1433695426,514850816
1433695426,514850816
1433695427,514850816
1433695427,514850816
1433695428,514850816
1433695428,514850816
1433695429,514850816
1433695429,514850816
1433695430,514850816
1433695430,514850816
1433695431,514850816
1433695431,514850816
1433695432,514850816
1433695432,514850816
1433695433,514850816
1433695433,514850816
1433695434,514850816
1433695434,514850816
1433695435,514850816
1433695435,514850816
1433695436,514850816
1433695436,514850816
1433695437,514850816
1433695437,514850816
1433695438,514850816
1433695438,514850816
1433695439,514850816
1433695439,514850816
1433695440,514850816
1433695440,514850816
1433695441,514850816
1433695441,514850816
1433695442,514850816
1433695442,514850816
1433695443,514850816
1433695443,514850816
1433695444,514850816
1433695444,514850816
1433695445,514850816
1433695445,514850816
1433695446,514850816
1433695446,514850816
1433695447,514850816
1433695447,514850816
1433695448,514850816
1433695448,514850816
1433695449,514850816
1433695449,514850816
1433695450,514850816
1433695450,514850816
1433695451,514850816
1433695451,514850816
1433695452,514850816
1433695452,514850816
1433695453,514850816
1433695453,514850816
1433695454,514850816
1433695454,514850816
1433695455,514850816
1433695455,514850816
1433695456,514850816
1433695456,514850816
1433695457,514850816
1433695457,514850816
1433695458,514850816
1433695458,514850816
1433695459,514850816
1433695459,514850816
1433695460,514850816
1433695460,514850816
1433695461,514850816
1433695461,514850816
1433695462,514850816
1433695462,514850816
1433695463,514850816
1433695463,514850816
1433695464,514850816
1433695464,514850816
1433695465,514850816
1433695465,514850816
1433695466,514850816
1433695466,514850816
1433695467,514850816
1433695467,514850816
1433695468,514850816
1433695468,514850816
1433695469,514850816
1433695469,514850816
1433695470,514850816
1433695470,514850816
1433695471,514850816
1433695471,514850816
1433695472,514850816
1433695472,514850816
1433695473,514850816
1433695473,514850816
1433695474,514850816
1433695474,514850816
1433695475,514850816
1433695475,514850816
1433695476,514850816
1433695476,514850816
1433695477,514850816
1433695477,514850816
1433695478,514850816
1433695478,514850816
1433695479,514850816
1433695479,514850816
1433695480,514850816
1433695480,514850816
1433695481,514850816
