t,value
1433695415,0
1433695416,0
1433695416,0
1433695417,0
1433695417,0
1433695418,0
1433695418,0
1433695419,0
1433695419,0
1433695420,0
1433695420,0
1433695421,0
1433695421,0
1433695422,0
1433695422,0
1433695423,0
1433695423,0
1433695424,0
1433695424,0
1433695425,0
1433695425,0
1433695426,0
1433695426,0
1433695427,0
1433695427,0
1433695428,0
1433695428,0
1433695429,0
1433695429,0
1433695430,0
1433695430,0
1433695431,0
1433695431,0
1433695432,0
1433695432,0
1433695433,0
1433695433,0
1433695434,0
1433695434,0
1433695435,0
1433695435,0
1433695436,0
1433695436,0
1433695437,0
1433695437,0
1433695438,0
1433695438,0
1433695439,0
1433695439,0
1433695440,0
1433695440,0
1433695441,0
1433695441,0
1433695442,0
1433695442,0
1433695443,0
1433695443,0
1433695444,0
1433695444,0
1433695445,0
1433695445,0
1433695446,0
1433695446,0
1433695447,0
1433695447,0
1433695448,0
1433695448,0
1433695449,0
1433695449,0
1433695450,0
1433695450,0
1433695451,0
1433695451,0
1433695452,0
1433695452,0
1433695453,0
1433695453,0
1433695454,0
1433695454,0
1433695455,0
1433695455,0
1433695456,0
1433695456,0
1433695457,0
1433695457,0
1433695458,0
1433695458,0
1433695459,0
1433695459,0
1433695460,0
1433695460,0
1433695461,0
1433695461,0
1433695462,0
1433695462,0
1433695463,0
1433695463,0
1433695464,0
1433695464,0
1433695465,0
1433695465,0
1433695466,0
1433695466,0
1433695467,0
1433695467,0
1433695468,0
1433695468,0
1433695469,0
1433695469,0
1433695470,0
1433695470,0
1433695471,0
1433695471,0
1433695472,0
1433695472,0
1433695473,0
1433695473,0
1433695474,0
1433695474,0
1433695475,0
1433695475,0
1433695476,0
1433695476,0
1433695477,0
1433695477,0
1433695478,0
1433695478,0
1433695479,0
1433695479,0
1433695480,0
1433695480,0
1433695481,0
1433695481,0
1433695482,0
1433695482,0
1433695483,0
1433695483,0
1433695484,0
1433695484,0
1433695485,0
1433695485,0
1433695486,0
1433695486,0
1433695487,0
1433695677,0
1433695677,0
1433695678,0
1433695678,0
1433695679,0
1433695679,0
1433695796,0
1433695797,0
1433695798,0
1433695799,0
1433695800,0
1433695801,0
1433695802,0
1433695803,0
1433695804,0
1433695805,0
1433695806,0
1433695807,0
1433695808,0
1433695809,0
1433695810,0
1433695811,0
1433695812,0
1433695813,0
1433695814,0
1433695815,0
1433695816,0
1433695817,0
1433695818,0
1433695819,0
1433695820,0
1433695821,0
1433695822,0
1433695823,0
1433695824,0
1433695825,0
1433695826,0
1433695827,0
1433695828,0
1433695829,0
1433695830,0
1433695831,0
1433695832,0
1433695833,0
1433695834,0
1433695835,0
1433695836,0
1433695837,0
1433695838,0
1433695839,0
1433695840,0
1433695841,0
1433695842,0
1433695843,0
1433695844,0
1433695845,0
1433695846,0
1433695847,0
1433695848,0
1433695849,0
1433695850,0
1433695851,0
1433695852,0
1433695853,0
1433695854,0
1433695855,0
1433695856,0
1433695857,0
1433695858,0
1433695859,0
1433695860,0
1433695861,0
1433695862,0
1433695863,0
1433695864,0
1433695865,0
1433695866,0
1433695867,0
1433695868,0
1433695869,0
1433695870,0
1433695871,0
1433695872,0
1433695873,0
1433695874,0
1433695875,0
1433695876,0
1433695877,0
1433695878,0
1433695879,0
1433695880,0
1433695881,0
1433695882,0
1433695883,0
1433695884,0
1433695885,0
1433695886,0
1433695887,0
1433695888,0
1433695889,0
1433695890,0
1433695891,0
1433695892,0
1433695893,0
1433695894,0
1433695895,0
1433695896,0
1433695897,0
1433695898,0
1433695899,0
1433695900,0
1433695901,0
1433695902,0
1433695903,0
1433695904,0
1435050661,0
1435050662,0
1435050663,0
1435050664,0
1435050665,0
1435050666,0
1435050667,0
1435050668,0
1435050669,0
1435050670,0
1435050671,0
1435050672,0
1435050673,0
1435050674,0
1435050675,0
1435050676,0
1435050677,0
1435050678,0
1435050679,0
1435050680,0
1435050681,0
1435050682,0
1435050683,0
1435050684,0
1435050685,0
1435050686,0
1435050687,0
1435050688,0
1435050689,0
1435050690,0
1435050691,0
1435050692,0
1435050693,0
1435050694,0
1435050695,0
1435050696,0
1435050697,0
1435050698,0
1435050699,0
1435050700,0
1435050701,0
1435050702,0
1435050703,0
1435050704,0
1435050705,0
1435050706,0
1435050707,0
1435050708,0
1435050709,0
1435050710,0
1435050711,0
1435050712,0
1435050713,0
1435050714,0
1435050715,0
1435050716,0
1435050717,0
1435050787,0
1435050788,0
1435050789,0
1435050790,0
1435050791,0
1435050792,0
1435050793,0
1435050794,0
1435050795,0
1435050796,0
1435050797,0
1435050798,0
1435050799,0
1435050800,0
1435050801,0
1435050802,0
1435050803,0
1435050804,0
1435050805,0
1435050806,0
1435050807,0
1435050808,0
1435050809,0
1435050810,0
1435050811,0
1435050812,0
1435050813,0
1435050814,0
1435050815,0
1435050816,0
1435050817,0
1435050818,0
1435050819,0
1435050820,0
1435050821,0
1435050822,0
1435050823,0
1435050824,0
1435050825,0
1435050826,0
1435050827,0
1435050828,0
1435050829,0
1435050830,0
1435050831,0
1435050832,0
1435050833,0
1435050834,0
1435050835,0
1435050836,0
1435050837,0
1435050838,0
1435050839,0
1435050840,0
1435050841,0
1435050842,0
1435050843,0
1435050844,0
1435050845,0
1435050846,0
1435050847,0
1435050848,0
1435050849,0
1435050850,0
1435050851,0
1435050852,0
1435050853,0
1435050854,0
1435050855,0
1435050856,0
1435050857,0
1435050858,0
1435050859,0
1435050860,0
1435050861,0
1435050862,0
1435050863,0
1435050864,0
1435050865,0
1435050866,0
1435050867,0
1435050868,0
1435050869,0
1435050870,0
1435050871,0
1435050872,0
1435050873,0
1435050874,0
1435050875,0
1435050876,0
1435050877,0
1435050878,0
1435050879,0
1435050880,0
1435050881,0
1435050882,0
1435050883,0
1435050884,0
1435050885,0
1435050886,0
1435050887,0
1435050888,0
1435050889,0
1435050890,0
1435050891,0
1435050892,0
1435050893,0
1435050894,0
1435050895,0
